,AC inverter power | (W),Ambient temperature | (C),Angle of incidence | (deg),Beam irradiance | (W/m2),DC array power | (W),Diffuse irradiance | (W/m2),Global horizontal irradiance | (W/m2),Module temperature | (C),Plane of array irradiance | (W/m2),Power generated by system | (kW),Shading factor for beam radiation,Sun up over horizon | (0/1),Transmitted plane of array irradiance | (W/m2),Wind speed | (m/s)
"Jan 1, 12:00 am",0,2,0,0,0,0,0,2,0,0,1,0,0,6.3
"Jan 1, 01:00 am",0,1.5,0,0,0,0,0,1.5,0,0,1,0,0,6.3
"Jan 1, 02:00 am",0,1,0,0,0,0,0,1,0,0,1,0,0,6.1
"Jan 1, 03:00 am",0,0.5,0,0,0,0,0,0.5,0,0,1,0,0,6.1
"Jan 1, 04:00 am",0,0.1,0,0,0,0,0,0.1,0,0,1,0,0,6.1
"Jan 1, 05:00 am",0,-0.4,0,0,0,0,0,-0.4,0,0,1,0,0,4.8
"Jan 1, 06:00 am",0,-0.9,0,0,0,0,0,-0.9,0,0,1,0,0,4.8
"Jan 1, 07:00 am",41.0092,-1,78.0105,108,64.4487,1,5,-2.06412,23.4049,0.0410093,1,2,16.6355,4.8
"Jan 1, 08:00 am",823.553,-1.1,69.9165,563,864.549,42,126,2.79114,254.674,0.823553,1,1,227.769,4.3
"Jan 1, 09:00 am",1681.94,-1.2,58.4103,776,1748.68,61,294,8.21328,490.402,1.68194,1,1,471.579,4.3
"Jan 1, 10:00 am",2292.09,0.3,48.5613,866,2381.34,69,429,13.9801,668.72,2.29209,1,1,658.742,4.3
"Jan 1, 11:00 am",2596.68,1.7,41.6274,907,2698.5,73,515,20.3555,774.038,2.59668,1,1,768.365,3.1
"Jan 1, 12:00 pm",2690.82,3.2,39.2038,917,2796.7,76,543,22.9122,810.348,2.69082,1,1,805.803,3.1
"Jan 1, 01:00 pm",2542.67,4.1,42.081,904,2642.2,73,509,22.8602,767.002,2.54267,1,1,761.103,3.1
"Jan 1, 02:00 pm",2160.93,5,49.3367,860,2245.04,68,417,21.9832,654.629,2.16093,1,1,644.07,2.6
